IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,PERCENT_POP_N,PERCENT_POP_NL,PERCENT_POP_NU
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2022,Female,1.7,1,2.5
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2010,Female,2.6,1.7,3.5
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2015,Female,2.2,1.4,3
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2020,Female,1.9,1.1,2.6
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2025,Female,1.6,0.9,2.3
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2021,Female,1.8,1,2.5
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2000,Female,3.7,2.1,5.2
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2005,Female,3.1,1.9,4.2
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2007,Female,2.9,1.8,3.9
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2030,Female,1.4,0.7,2.1
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2020,Male,12.4,7.7,17.2
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2021,Male,12.2,7.7,16.8
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2025,Male,11.9,6.4,17.4
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2030,Male,11.4,5.4,17.3
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2005,Male,14.5,10,18.9
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2007,Male,14.1,9.6,18.7
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2022,Male,12.2,7,17.5
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2010,Male,13.7,9.1,18.3
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2000,Male,15.3,9.8,20.7
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2015,Male,13,8.7,17.4
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2015,Total,7.6,5,10.2
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2005,Total,8.8,6,11.6
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2020,Total,7.1,4.4,9.9
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2022,Total,7,4,10
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2000,Total,9.5,6,12.9
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2030,Total,6.4,3,9.7
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2007,Total,8.5,5.7,11.3
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2010,Total,8.1,5.4,10.9
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2021,Total,7,4.4,9.7
75DDA77,Tobacco use,COUNTRY,052,Barbados,YEAR,2025,Total,6.7,3.6,9.9
