Property,Value
Name,New HIV infections (per 1000 uninfected population)
Short name,"HIV infections, new (per 1000 uninfected population)"
Indicator unique identifier,77D059C
Indicator codes,SDGHIV
Also known as,SDG indicator 3.3.1
SDG Goal,3.3.1 – HIV infections
Short description,Number of new HIV infections per 1000 uninfected population.
Definition,"The number of new HIV infections per 1,000 uninfected population, by sex, age and key populations as defined as the number of new HIV infections per 1,000 persons among the uninfected population."
Direction of progress,Figures decreasing over time demonstrates progress.
Framework classifications,Impact
Indicator status,Actively collected and reported
Most recent data update,22 July 2024
Next expected data update,2024
Expected frequency of data release,Annual
Publishing institution,WHO
Data type,Float
Unit of measure,Number of new HIV infections per 1000 uninfected population
Value display label,infections per 1000
Short value display label,infections per 1k
Subject of measure,INCIDENCE
Subject of measure sentiment,Negative
Measure context,1C62.3
Preferred semantic value type,Rate per 1000
Confidence intervals,Yes
Provenance,Official Estimate
First available data,31 December 1989
Most recent available data,31 December 2020
Data completeness,Complete data
Temporal coverage,1989 - 2020
Periodicity,Annual
Spatial coverage,World
Granularity,National
"Number of countries, areas and territories",172
