IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2001,Female,5.42978,4.01076,7.13398
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2007,Female,6.49196,4.84351,8.47602
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2008,Female,6.93354,5.15114,9.05383
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2011,Female,6.88303,5.11301,9.04089
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2014,Female,6.37962,4.60724,8.61433
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2015,Female,6.3779,4.5166,8.73661
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2018,Female,6.04459,4.13277,8.50132
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2019,Female,5.96071,4.0357,8.46437
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2002,Female,5.89963,4.35756,7.73064
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2003,Female,6.19947,4.55862,8.12395
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2006,Female,6.86533,5.11127,8.98798
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2004,Female,6.47899,4.77518,8.53106
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2005,Female,6.68206,4.98546,8.74785
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2009,Female,6.28769,4.66601,8.2468
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2010,Female,6.59685,4.90434,8.63892
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2000,Female,5.3037,3.92029,7.00393
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2012,Female,4.92704,3.6276,6.52643
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2013,Female,6.66706,4.88172,8.90179
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2017,Female,6.05923,4.19594,8.42983
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2016,Female,6.69795,4.70957,9.23425
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2012,Male,18.53317,14.22928,23.64883
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2013,Male,16.50425,12.52878,21.37962
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2018,Male,16.8901,12.04312,22.89477
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2003,Male,16.58039,12.88504,20.81454
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2008,Male,18.21442,14.2797,22.88945
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2011,Male,17.01424,13.26185,21.48366
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2005,Male,17.34031,13.54832,21.66707
361734E,Homicide deaths,COUNTRY,052,Barbados,YEAR,2015,Male,16.41852,12.06891,21.69519
