Property,Value
Name,Reported number of people requiring interventions against Neglected Tropical Diseases (NTDs)
Short name,"Neglected tropical diseases interventions, people requiring intervention (number)"
Indicator unique identifier,2D6FBE4
Indicator codes,SDGNTDTREATMENT
Also known as,SDG indicator 3.3.5
SDG Goal,3.3.5 – Neglected tropical diseases
Short description,Number of people requiring treatment and care for any one of the target WHO or NTD Roadmap neglected tropical diseases (NTDs).
Definition,The number of people requiring treatment and care for any one of the neglected tropical diseases (NTDs) targeted by the WHO NTD Roadmap and World Health Assembly resolutions and reported to WHO.
Direction of progress,Figures decreasing over time demonstrates progress.
Framework classifications,Impact
Indicator status,Actively collected and reported
Most recent data update,8 January 2024
Publishing institution,WHO
Data type,Integer
Unit of measure,Number of people requiring treatment and care for any neglected tropical diseases (NTDs)
Value display label,people
Short value display label,people
Subject of measure,POPULATION
Subject of measure sentiment,Negative
Preferred semantic value type,Count
Confidence intervals,No
Provenance,"Country, Territory or Area Reported"
First available data,31 December 2009
Most recent available data,31 December 2019
Data completeness,Complete data
Temporal coverage,2009 - 2019
Periodicity,Annual
Spatial coverage,World
Granularity,National
"Number of countries, areas and territories",194
