Property,Value
Name,Neonatal mortality rate (per 1000 live births)
Short name,Neonatal mortality rate(per 1000 live births)
Indicator unique identifier,A4C49D3
Indicator codes,WHOSIS_000003
Also known as,"SDG indicator 3.2.2
                                                     Neonatal mortality rate"
SDG Goal,3.2.2– Neonatal mortality rate
Short description,Number of deaths during the first 28 completed days of life per 1000 live births in a given year or other period.
Definition,"The number of deaths during the first 28 completed days of life per 1000 live births in a given year or other period. Neonatal deaths (deaths among live births during the first 28 completed days of life) may be subdivided into early neonatal deaths, occurring during the first 7 days of life, and late neonatal deaths, occurring after the 7th day but before the 28th completed day of life."
Direction of progress,"Figures decreasing over time demonstrates progress.
Generally, the proportion of neonatal deaths among child deaths under the age of five is expected to increase as countries continue to witness a decline in child mortality."
Indicator status,Actively collected and reported
Most recent data update,16 May 2024
Next expected data update,2023
Expected frequency of data release,Annual
Publishing institution,WHO
Data type,Float
Unit of measure,Number of deaths during the first 28 completed days of life per 1000 live births
Value display label,deaths per 1000 live births
Short value display label,deaths per 1k live births
Subject of measure,MORTALITY
Subject of measure sentiment,Negative
Preferred semantic value type,Rate per 1000
Confidence intervals,Yes
Provenance,Official Estimate
Calculation type,"Adjusted
                                                    Predicted"
First available data,31 December 1950
Most recent available data,31 December 2020
Data completeness,Complete data
Temporal coverage,1950 - 2020
Periodicity,Annual
Spatial coverage,World
Granularity,National
"Number of countries, areas and territories",199
