IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2001,Total,18 plus years,22.803551,20.731415,24.922378
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2003,Total,18 plus years,24.299389,22.11847,26.553154
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2011,Total,18 plus years,30.148205,27.40736,33.129412
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2019,Total,18 plus years,35.824624,31.204966,40.707016
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2020,Total,18 plus years,36.551526,31.530654,41.896275
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2021,Total,18 plus years,37.28483,31.897286,43.001583
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,1990,Total,18 plus years,15.748332,13.72208,17.882106
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,1991,Male,18 plus years,8.6137004,6.7635097,10.800396
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,1997,Male,18 plus years,11.542719,9.4140865,13.912785
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,1998,Male,18 plus years,12.126307,9.9116191,14.553063999999999
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,1999,Male,18 plus years,12.734184,10.437324,15.230046
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2006,Male,18 plus years,17.204484,14.246956,20.339489
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2008,Male,18 plus years,18.441059,15.192987,21.835282
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2013,Male,18 plus years,21.373063,17.344883,25.57717
BEFA58B,Obesity in adults (age 18+),COUNTRY,052,Barbados,YEAR,2019,Male,18 plus years,25.05157,18.834306,31.859747
