IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_100_N,RATE_PER_100_NL,RATE_PER_100_NU
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,1996,Female,10 to 19 years,8.8139325,3.9004795,15.473622
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2004,Female,10 to 19 years,12.285312,7.3664114,18.243445
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2010,Female,10 to 19 years,15.09268,10.620683,20.292737
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2014,Female,10 to 19 years,17.44929,12.059765,23.303874
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2015,Female,10 to 19 years,18.102522,12.194709,24.536465
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2016,Female,10 to 19 years,18.765375,12.302234,25.794908
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2021,Female,10 to 19 years,22.13646,11.837419,33.729541
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,1990,Total,10 to 19 years,5.5183064,2.4794362,9.9607885
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,1999,Total,10 to 19 years,9.1189161,5.5978145,13.575163
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2002,Total,10 to 19 years,10.531801,6.9679812,14.777727
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2007,Total,10 to 19 years,12.969661,9.7468063,16.560961
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2009,Total,10 to 19 years,14.029248,11.007402,17.435625
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2010,Total,10 to 19 years,14.599949,11.534756,17.993137
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2014,Total,10 to 19 years,16.879624,13.113512,20.942964
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2017,Total,10 to 19 years,18.530241,13.391569,24.292591
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,2021,Total,10 to 19 years,20.999147,13.28194,29.986063
EF93DDB,Obesity in children (age 5 to 19),COUNTRY,052,Barbados,YEAR,1990,Male,10 to 19 years,4.6490543,1.2269272,11.002193
