Property,Value
Name,Prevalence of stunting in children under 5 (%)
Short name,Prevalence of stunting in children under 5 (%)
Indicator unique identifier,5F8A486
Indicator codes,NUTSTUNTINGPREV
Also known as,SDG indicator 2.2.1
SDG Goal,2.2.1 - Stunting
Short description,"Prevalence of stunting (weight for height <-2 standard deviation from the Child Growth Standards median) among children under 5 years of age.
(SDG 2.2.1)"
Definition,The prevalence of stunting (height-for-age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age.
Direction of progress,Figures decreasing over time demonstrates progress.
Framework classifications,Impact
Indicator status,Actively collected and reported
Most recent data update,8 January 2024
Next expected data update,2024/2025
Expected frequency of data release,Annual
Data release notes,"The UNICEF-WHO-WB Joint Child Malnutrition (JME) group releases country, regional and worldwide estimates at the end of March so that data are available for the SDG report and database. The JME group also maintain a dataset of primary data sources (household surveys) used to generate the JME global estimates."
Publishing institution,WHO
Data type,Float
Unit of measure,Percentage of children (under 5) with height-for-age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards
Value display label,% of children
Short value display label,%
Subject of measure,PREVALENCE
Subject of measure sentiment,Negative
Preferred semantic value type,Per cent
Confidence intervals,Yes
Provenance,Official Estimate
Calculation type,"Adjusted
                                                    Predicted"
First available data,31 December 1989
Most recent available data,31 December 2019
Data completeness,Incomplete data
Temporal coverage,1989 - 2019
Periodicity,Annual
Spatial coverage,World
Granularity,National
"Number of countries, areas and territories",155
Geographic entities and groups,"Afghanistan, Albania, Algeria, Angola, Argentina, Armenia, Australia, Azerbaijan, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia (Plurinational State of), Bosnia and Herzegovina, Botswana, Brazil, Brunei Darussalam, Bulgaria, Burkina Faso, Burundi, Cabo Verde, Cambodia, Cameroon, Central African Republic, Chad, Chile, China, Colombia, Comoros, Congo, Costa Rica, Côte d'Ivoire, Cuba, Czechia, Democratic People's Republic of Korea, Democratic Republic of the Congo, Djibouti, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini, Ethiopia, Fiji, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, India, Indonesia, Iran (Islamic Republic of), Iraq, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kiribati, Kuwait, Kyrgyzstan, Lao People's Democratic Republic, Lebanon, Lesotho, Liberia, Libya, Madagascar, Malawi, Malaysia, Maldives, Mali, Marshall Islands, Mauritania, Mauritius, Mexico, Mongolia, Montenegro, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Netherlands (the), Nicaragua, Niger, Nigeria, North Macedonia, occupied Palestinian territory, including east Jerusalem, Oman, Pakistan, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Qatar, Republic of Korea, Republic of Moldova, Romania, Rwanda, Saint Lucia, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Solomon Islands, Somalia, South Africa, South Sudan, Sri Lanka, Sudan, Suriname, Syrian Arab Republic, Tajikistan, Thailand, Timor-Leste, Togo, Tonga, Trinidad and Tobago, Tunisia, Turkmenistan, Tuvalu, Uganda, Ukraine, United Republic of Tanzania, United States of America, Uruguay, Uzbekistan, Vanuatu, Venezuela (Bolivarian Republic of), Viet Nam, Yemen, Zambia, Zimbabwe"
Time intervals,"1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
Method of measurement,Survey estimates are based on standardized methodology using the WHO Child Growth Standards as described elsewhere (Ref: Anthro software manual). Global and regional estimates are based on methodology outlined in UNICEF-WHO-The World Bank: Joint child malnutrition estimates - Levels and trends (UNICEF/WHO/WB 2021 edition).
Method of estimation aggregates,"Method of estimation of global and regional aggregates: Regional aggregates are available for the following classifications: UN, MDG, UNICEF, WHO, The World Bank regions and income groups"
