IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,Sex,Age,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2010,Female,Total years,0.726,0.54,0.935
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2013,Female,Total years,0,0,0
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2016,Female,Total years,0.31,0.223,0.424
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2000,Total,Total years,2.63,1.96,3.43
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2004,Total,Total years,1.42,1.07,1.84
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2007,Total,Total years,1.49,1.14,1.93
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2018,Total,Total years,0.616,0.44,0.825
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2002,Male,Total years,0.423,0.321,0.552
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2006,Male,Total years,3.08,2.35,3.96
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2008,Male,Total years,1.47,1.14,1.88
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2015,Male,Total years,0.915,0.676,1.19
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2016,Male,Total years,0.955,0.699,1.25
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2018,Male,Total years,0.94,0.676,1.24
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2019,Male,Total years,0.937,0.675,1.24
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2000,Female,Total years,0.547,0.409,0.728
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2001,Female,Total years,0.388,0.291,0.516
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2002,Female,Total years,0.26,0.192,0.345
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2004,Female,Total years,1.96,1.47,2.55
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2006,Female,Total years,0.286,0.212,0.369
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2008,Female,Total years,0.495,0.374,0.637
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2011,Female,Total years,0.402,0.293,0.535
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2015,Female,Total years,0.309,0.225,0.415
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2019,Female,Total years,0.319,0.224,0.451
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2000,Male,Total years,4.88,3.63,6.35
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2009,Male,Total years,2.51,1.92,3.22
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2011,Male,Total years,1.6,1.21,2.05
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2017,Male,Total years,0.941,0.681,1.23
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2003,Female,Total years,1.71,1.29,2.23
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2007,Female,Total years,0.178,0.134,0.233
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2009,Female,Total years,0.525,0.395,0.671
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2014,Female,Total years,0.3,0.221,0.402
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2018,Female,Total years,0.314,0.219,0.44
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2005,Female,Total years,1.76,1.33,2.28
16BBF41,Suicide deaths,COUNTRY,052,Barbados,YEAR,2012,Female,Total years,0.463,0.339,0.62
