Property,Value
Name,Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%)
Short name,Proportion of women of reproductive age who have their need for family planning satisfied with modern methods (%)
Indicator unique identifier,8074BD9
Indicator codes,SDGFPALL
Also known as,"SDG indicator 3.7.1
                                                     Demand for family planning satisfied with modern methods
                                                     Proportion of demand satisfied by modern methods"
SDG Goal,3.7.1 – Women satisfied with modern methods
Short description,"Percentage of women of reproductive age (15 to 49 years) having their demand for family planning satisfied with modern methods.
(SDG 3.7.1)"
Definition,The percentage of women of reproductive age (15 to 49 years) who desire either to have no (additional) children or to postpone the next child and who are currently using a modern method of contraception. The indicator is also referred to as the demand for family planning satisfied with modern methods.
Direction of progress,Figures increasing over time demonstrates progress.
Framework classifications,Outcome
Indicator status,Actively collected and reported
Most recent data update,8 January 2024
Publishing institution,WHO
Data type,Float
Unit of measure,Percentage of women of reproductive age (15-49 years) who desire either to have no (additional) children or to postpone the next child and who are currently using a modern method of contraception
Value display label,% of women
Short value display label,%
Subject of measure,POPULATION
Subject of measure sentiment,Positive
Preferred semantic value type,Per cent
Confidence intervals,No
Provenance,"Country, Territory or Area Reported"
First available data,31 December 1989
Most recent available data,31 December 2019
Data completeness,Incomplete data
Temporal coverage,1989 - 2019
Periodicity,Annual
Spatial coverage,World
Granularity,National
"Number of countries, areas and territories",133
